Indicator ID,Domain,Subdomain,Indicator Title,Description,Unit,IndicatorType,Target,Baseline,Current,Year,Total,Disaggregation Category,Disaggregation Value,Percentage,Methodology,DataSources,TargetMethod
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,sex,male,0.9,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 100,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,sex,male,1.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 101,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,sex,male,2.1,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 102,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,sex,male,2.5,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 103,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,sex,male,0.8,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 104,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2566,0.7,sex,female,0.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 105,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2565,1.2,sex,female,0.3,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 106,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2564,2.1,sex,female,0.9,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 107,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2563,2.4,sex,female,0.6,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 108,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
ECON-01,ความมั่นคงและความเสมอภาคทางเศรษฐกิจ (Economic security and equality),การจ้างงาน,อัตราการว่างงาน,,%,reverse,0,2.4,0.7,2562,0.6,sex,female,1.1,(จำนวนผู้ว่างงาน หารด้วย กำลังแรงงาน) x 109,สำนักงานสถิติแห่งชาติ,เป้าหมายตาม ตัวชี้วัด SDG 8.5.2 อัตราการว่างงาน จำแนกตามเพศ อายุ และ ความพิการ
